ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
9292,Murad Nagar,Hyderabad,Food Zone 2,300,4,500,"Mughlai,Chinese,Tandoor",Guddimmalkapur Road,46
9304,Redhills,Hyderabad,Rayalaseema Ruchulu,450,4,500,"South Indian,Biryani,Rayalaseema",Lakdikapul,39
10062,Somajiguda,Hyderabad,Kritunga Restaurant,500,4,1000,"Biryani,Andhra,Rayalaseema,South Indian,North Indian,Chinese",Somajiguda,52
10085,Murad Nagar,Hyderabad,Bakers Street,250,4.2,500,Bakery  Continental,Gudimalkatur Road,49
10475,Kachiguda,Hyderabad,Urban Munchies,150,2.9,80,"Ice Cream,Desserts",Adikmet Vidyanagar,42
10730,Banjara Hills,Hyderabad,Radisson Blu Plaza Delivery,1200,3.7,20,"Chinese,Biryani,North Indian",Road No 6,82
10750,Lakdikapul,Hyderabad,Shahji Ka Dhaba,400,4.3,100,"North Indian,Chinese",Veer Nagar,44
11092,Banjara Hills,Hyderabad,Karachi Bakery Banjara,200,4.1,1000,"Bakery,Pizzas,Snacks,Chinese,Italian,American,Sweets,Desserts,Beverages",Road No 1,56
11162,Dilsukhnagar,Hyderabad,Desi Pizza,200,3.9,20,Pizzas,P And T Colony Road,50
11553,Habsiguda,Hyderabad,Suruchi - The Family Restaurant,500,4.2,500,"Biryani,North Indian,Chinese",Habsiguda Circle,58
12046,Himayatnagar,Hyderabad,Subway,350,4.3,500,"Fast Food,Salads,Snacks,Desserts,Beverages",Himayath Nagar Road,33
13179,Kothapet,Hyderabad,Kritunga Restaurant,500,4,1000,"Biryani,Andhra,Rayalaseema,South Indian,North Indian,Chinese",Dilsukhnagar Main Road,49
13434,Masab Tank,Hyderabad,Cafe 555 & Aqeeq Restaurant,300,3.9,5000,"Biryani,North Indian,Chinese",Owaisi Pura,46
13552,Banjara Hills,Hyderabad,Shadab Go,500,4.1,1000,"North Indian,Biryani,Chinese",Road No 3,68
13940,Himayatnagar,Hyderabad,Eagles Pizza,150,3.7,500,Pizzas,Himayathnagar Road,32
14894,Madhura Nagar,Hyderabad,Rk Sweets And Juices,200,4.2,50,Sweets  Desserts  Bakery  Beverages,Madhuranagar,63
16022,New Nallakunta,Hyderabad,New Astoria Restaurant,450,3.8,100,"Chinese,Biryani",Rtc Cross Road,34
16394,Banjara Hills,Hyderabad,Exotica,1000,4.5,500,"Indian,Chinese,North Indian,Punjabi,Tandoor,Kebabs,Biryani,Seafood,Oriental,Desserts,Sweets,Beverages,Combo",Nbt Nagar,65
16577,Habsiguda,Hyderabad,Blr Food Kourt,250,4.1,20,"Biryani,Chinese,North Indian",Vasanth Vihar Colony,63
16770,Koti,Hyderabad,Palace Heights,1700,3.8,50,"North Indian,Chinese,Biryani,Continental,Mughlai",Palace Heights Lane,44
17182,Nagole,Hyderabad,Amaravathi Family Restaurant,500,4.1,500,"Indian,Chinese,Tandoor",Nagole Road,69
17183,Kothapet,Hyderabad,Spicy Hub,500,4,1000,"North Indian,Chinese",Kothapet - R.K Puram Road,51
17345,Huda Complex,Hyderabad,Papadams Blue,500,3.9,1000,"Biryani,Chinese,Andhra,North Indian,South Indian,Tandoor",Kothapet Cross Road,53
17346,Huda Complex,Hyderabad,Papadams Restaurant,500,3.8,1000,"Biryani,Chinese,Andhra,North Indian,South Indian,Tandoor",Kothapet Road,54
18007,Kachiguda,Hyderabad,Cafe Coffee Day,300,4.5,20,"Beverages,Snacks,Desserts",Kachiguda Railway Station,36
18012,Basheer Bagh,Hyderabad,Cafe Coffee Day,300,4.1,100,Beverages  Snacks  Desserts,Sri Siva Rama Towers,40
21630,Dilsukhnagar,Hyderabad,The Shawarma'S,200,4.1,50,Lebanese,P And T Colony,47
21633,Dilsukhnagar,Hyderabad,A-1 Chicken Pakoda,250,4.1,500,"Biryani,Chinese,Mughlai",Shalivahana Nagar,41
21966,Somajiguda,Hyderabad,Verandah-The Park Hyderabad,550,4,50,"Indian,Chinese,Biryani,Snacks,Desserts",Raj Bhavan Road,58
22743,Banjara Hills,Hyderabad,Dunkin Donuts,250,4.3,500,"Desserts,Bakery,Beverages,Fast Food,Combo",Road No.1,52
22964,Banjara Hills,Hyderabad,Haiku,1500,4.4,100,"Japanese,Asian,Thai",Road No 12,75
22990,Nampally,Hyderabad,Al-Tazaj Fried Chicken,200,4,20,"Italian,Beverages,Fast Food",Mallepally,51
23607,Banjara Hills,Hyderabad,Flying Spaghetti Monster,1500,4.3,100,"Italian,Pizzas",Green Valley,76
23707,Himayatnagar,Hyderabad,Mcdonald'S,400,4.2,1000,"American,Fast Food",Himayat Nagar,33
25232,Jyothi Nagar,Hyderabad,Sindhura East Court,300,3.7,20,"North Indian,Chinese,South Indian,Tandoor",Raghavendra Nagar,65
25251,Punjagutta,Hyderabad,Meridian Restaurant,400,4.1,5000,"Biryani,Chinese,North Indian,Kebabs",Panjagutta Main Road,53
25643,Khairtabad,Hyderabad,Barista,350,2.9,80,"Beverages,Snacks",Prasad I Max,58
25799,Tarnaka,Hyderabad,Ayaan'S Bbq & Mataam Mandi,400,4.1,20,Arabian  Biryani  Mughlai,Tarnaka Main Road,67
26301,Mehdipatnam,Hyderabad,Italian Pizzeria Creamato,400,4.2,50,"Italian,Desserts,American",Gudi Malkapur Road,56
27077,Toli Chowki,Hyderabad,Mr. Faddy,300,4.2,1000,American,Janaki Nagar Colony,65
27081,Banjara Hills,Hyderabad,Aromas Of Asia,1000,4.1,50,"Pan-Asian,Chinese",Road No 1,62
27665,New Nallakunta,Hyderabad,Pista House,200,4.3,1000,"Bakery,Pizzas,Snacks,Desserts",Chikkadapalli Road,30
27690,Himayath Nagar,Hyderabad,Lazeez Khaana,350,2.9,80,"Chinese,Biryani,Mughlai,North Indian,Haleem",Railway Quarters,37
27739,Redhills,Hyderabad,Cafe Niloufer Classic,150,4.5,1000,Bakery,Lakdikapul,35
28067,Banjara Hills,Hyderabad,Sahib Sindh Sultan,1000,4.2,50,"North Indian,Biryani",City Center Mall,66
28541,Banjara Hills,Hyderabad,Ofen,300,4.3,100,"European,Italian,Continental,Desserts",Banjara Hills,59
28768,Kachiguda,Hyderabad,Domino'S Pizza,400,4.4,100,Pizzas,Kachiguda Main Road,30
30941,Adikmet,Hyderabad,Urban Munchies (Us Pizza),300,3.2,20,Fast Food  Pizzas  Beverages  Desserts,Srt Colony  Adikmet,49
30962,Zamistanpur,Hyderabad,Crispy Hub,250,3.8,100,"American,Pizzas,Continental",Musheerabad Mch Colony,41
31970,Himayatnagar,Hyderabad,Mandilicious,450,3.9,100,"Arabian,Indian,Chinese",Himayath Nagar,32
32003,Himayatnagar,Hyderabad,Rice Bowl,200,4,1000,"North Indian,South Indian",Urdu Galli,28
32129,Himayatnagar,Hyderabad,Burger King,350,4.2,1000,American  Fast Food,Mpm Millennium Mall,35
32566,Khairtabad,Hyderabad,Salt & Pepper-The Central Court Hotel,250,2.9,80,"North Indian,Chinese,Continental,Seafood",Lakdikapul Main Road,44
32713,Adikmet,Hyderabad,Rammy Fast Food,200,4,100,Fast Food,Adikmet Main Road,35
32734,Bn Reddy Nagar,Hyderabad,N Village,700,4,500,"North Indian,Chinese,South Indian,Biryani",Sn Reddy Nagar,60
32907,Banjara Hills,Hyderabad,Fitmeals,500,4.2,100,Continental  Lebanese,Devera Konda Green Valley,67
33127,Kavadiguda,Hyderabad,Star Hotel,300,3.4,1000,"Hyderabadi,Mughlai,Biryani",Kavadiguda,41
33237,Somajiguda,Hyderabad,Kathmandu Momo,150,4.4,100,Fast Food,Raj Bhavan Road,59
34028,Ameerpet,Hyderabad,Vellanki Foods,200,4.4,1000,Sweets  Desserts,Ameerpet 'X' Road,61
34147,Narayanguda,Hyderabad,K&C Bakers &Confectioners,200,4,100,Bakery,Venkata Swamy Nagar,30
34634,Toli Chowki,Hyderabad,Shah Ghouse Cafe & Restaurant,350,4,10000,Biryani  North Indian  Chinese  Mughlai  Tandoor,Tolichowki,63
35008,Basheer Bagh,Hyderabad,Alex'S Kitchen,350,4.2,500,Chinese,Liberty Road,39
36589,Amberpet,Hyderabad,Habeeb'S Fast Food,300,4.1,500,"Fast Food,Chinese,Mughlai",Near Polytechnic Bus Stop,38
38678,Banjara Hills,Hyderabad,Royal Tiffin Centre,150,4,1000,Indian,Road No -3,66
38691,Mehdipatnam,Hyderabad,Mohammedia Shawarma,300,3.8,500,Arabian  Street Food,P & T Colony,57
39302,Old Malakpet,Hyderabad,Al Madina Mandi House,400,3.9,100,"Biryani,Arabian,Fast Food",Malakpet Gunj,34
39323,Malakpet,Hyderabad,De' Cafe Studio,300,3.4,20,"Continental,American,Italian",Nalgonda X Road,39
39325,Malakpet,Hyderabad,The Royal Palace,300,3.9,100,"Chinese,Mughlai,Tandoor,Biryani",Chaderghat,36
39578,Kothapet,Hyderabad,Hotel Nakshatra Grand,350,3.8,100,"North Indian,Chinese,Biryani,South Indian",Rajadhani Theatre Rd,52
39579,Banjara Hills,Hyderabad,Silver Salt,1000,3.9,50,"Hyderabadi,Biryani,North Indian",Road No 1,66
40466,Ameerpet,Hyderabad,Hari Dosa,200,3.8,1000,Indian  South Indian  Chinese,Satyam Theatre Rd,66
43652,Kothapet,Hyderabad,Suruchi Biryani House,300,3.4,50,"North Indian,Chinese,Biryani,Hyderabadi",Sowbhagya Nagar,67
43794,Sri Hanuman Nagar Colony,Hyderabad,Hotel Shubham Palace - Dhanturi Hospitality,300,3.9,1000,"Biryani,Chinese,South Indian,North Indian,Tandoor",Sri Hanuman Nagar Colony,65
43958,Chanchalguda,Hyderabad,Hotel Sohail Waves,500,4.1,1000,"Arabian,Tandoor,Mughlai,Biryani,North Indian",Officers Colony,27
46872,Malakpet,Hyderabad,Paradise Biryani,400,3.8,100,"Biryani,North Indian,Chinese",Tsrtc Mahatma Gandhi Bus Station,36
47009,Toli Chowki,Hyderabad,Kabul Darbar,850,4.3,100,"Afghani,Arabian,Indian,Tandoor",Balreddy Nagar,57
48948,Nagole,Hyderabad,The Chocolate Room,500,3.7,50,Desserts,Arunodaya Nagar Colony,76
49739,Banjara Hills,Hyderabad,Waffle House,400,3.9,20,Cafe  Desserts  Beverages,Raod No 12,55
50057,Santosh Nagar,Hyderabad,Khismat Restaurant,250,3.6,100,"Chinese,Indian,Mughlai",Maruthi Nagar,50
50091,Saidabad,Hyderabad,Tipsy Topsy,250,3.7,500,"Chinese,Italian,Desserts,Bakery,Fast Food",Saroor Nagar,39
50266,Dilsukhnagar,Hyderabad,Mr.Pulao,200,3.6,500,"Andhra,South Indian,Biryani",Krishna Nagar,41
52204,Bn Reddy Nagar,Hyderabad,Amaravathi Restaurant,400,4,50,"North Indian,Chinese",Champapet Rd,63
52419,Himayatnagar,Hyderabad,Roll Zone,150,4.1,50,"Snacks,Fast Food",Urdu Hall Lane,31
53007,Mehdipatnam,Hyderabad,Prince Restaurant,200,3.9,1000,"Biryani,North Indian,Tandoor,Hyderabadi,Kebabs,Chinese",Masjid Road,52
53009,Humayun Nagar,Hyderabad,Prince Hotel,200,4,1000,"Biryani,North Indian,Tandoor",Masjid Road,51
53261,Toli Chowki,Hyderabad,4 Seasons,800,4.1,500,"Mediterranean,Lebanese,Mughlai,North Indian,Chinese,Salads",Opposite Rta Office,65
54605,New Nallakunta,Hyderabad,Lucky'S Biryani House,400,4,100,"Biryani,Chinese",Tilak Nagare X Road,38
55195,Tarnaka,Hyderabad,Nrs Hotel Sanman,150,4.1,1000,"South Indian,North Indian",Tarnaka Cross Road,57
55702,New Mallepally,Hyderabad,Al Arabian Shawarma,150,4.2,50,Arabian,Nampally Station Road,35
55875,Lakdikapul,Hyderabad,Hotel Azizia,300,3.9,50,"North Indian,Biryani,Chinese",Nampally,31
56268,Punjagutta,Hyderabad,The Belgian Waffle Co.,200,4.5,100,Desserts  Beverages,Next Galleria Mall,66
57903,New Malakpet,Hyderabad,Capital Multi Cuisine Restaurant,500,3.8,5000,"Haleem,Arabian,Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Mumbai Hwy,33
58070,Film Nagar,Hyderabad,Sofrehh Persian Bistro,400,4.1,50,Fast Food  Middle Eastern  Cafe,Road Number 36,77
58289,Punjagutta,Hyderabad,Baguette Salads,200,3.8,100,"Healthy Food,North Indian,Beverages",Rd No:3,64
60071,Old Malakpet,Hyderabad,Karachi Bakery,400,4.2,100,"Bakery,Pizzas,Fast Food,Chinese,Italian,American,Sweets,Desserts,Beverages",Saleem Nagar,38
60214,New Malakpet,Hyderabad,Tower Bavarchi Multi Cuisine Restaurant,300,3.2,100,"North Indian,Chinese,Biryani",Dilsukhnagar Main Rd,35
61315,Banjara Hills,Hyderabad,Chai Point,150,4.2,500,"Bakery,Combo,Beverages,Maharashtrian,Snacks,Street Food,South Indian,Punjabi,Fast Food",Gvk Mall,57
61931,Lakdikapul,Hyderabad,Al Yousufain Fast Food,300,4.1,50,"Indian,Fast Food",Nampally,30
62456,Amberpet,Hyderabad,Bakers 'Q',300,4,100,Bakery,Shivam Road,44
62509,Banjara Hills,Hyderabad,Ohri'S Cake Nation,600,4.1,100,Desserts  Bakery,Road No.12,52
63891,Amberpet,Hyderabad,Down Town House,250,2.6,20,Ice Cream  Beverages  Fast Food,Amderpet,46
64595,Narayanguda,Hyderabad,The Bhimavaram Boys,300,3.7,500,South Indian,Old Mla Quaaters Rd,33
64972,Banjara Hills,Hyderabad,24/7 Gallery Cafe - Hyatt Place Hyderabad,1500,2.9,80,"Italian,Indian,Continental",Hyatt Place Road No 1 Banjara Hills,66
65483,Himayath Nagar,Hyderabad,Istah - Shawarma And Biryani,250,4.4,1000,"Arabian,Lebanese,Mediterranean,Biryani",Himayath Nagar,27
65921,Film Nagar,Hyderabad,Wokstars,400,4.2,100,"Asian,Chinese",Near Apollo Hospital Road 92,77
66666,Lakdikapul,Hyderabad,Stop N Go,200,4.3,100,"Fast Food,Bakery",P & T Officers Colony,48
66936,Banjara Hills,Hyderabad,Cafe Graffiti Pizzeria,450,3.9,50,"Fast Food,Italian,Beverages",Rd Number 12,61
67296,Toli Chowki,Hyderabad,Shalimar Sweets,300,4.1,100,Sweets,Galaxy Theatre Road,67
70016,Amberpet,Hyderabad,Sampradaya Foods,450,4.5,100,"Sweets,Desserts",Bagh Amberpet,40
70054,Bowenpally,Hyderabad,Sweet Heart Family Restaurant,300,3.7,1000,North Indian  Chinese  Biryani,Begumpet,74
70577,Khairtabad,Hyderabad,The Just Biryani,200,4.3,20,"Chinese,South Indian,North Indian",Road 12,54
70894,Dilsukhnagar,Hyderabad,Chinese By Sahadeva Reddy,200,4.2,100,"Chinese,Fast Food",Rd Number 35,39
70942,Dilsukhnagar,Hyderabad,Sahadeva Reddy'S Chinese Kitchen,250,4,500,"Chinese,Fast Food",Maruthi Nagar,38
71591,Banjara Hills,Hyderabad,Sandwich Eatery,250,4,100,Fast Food  Beverages,Sr Nagar,75
71596,Karkhana,Hyderabad,Tea Kettle,300,4.5,50,Beverages  Fast Food,Kharkana,68
71645,Mehdipatnam,Hyderabad,Hotel City Diamond,300,4.3,500,"Biryani,Hyderabadi",Mehdipatnam X Roads,43
72566,Yousufguda,Hyderabad,Eat N Joy Bakers,200,4.1,20,Bakery,Kamalapuri Colony,67
74137,Sanjeeva Reddy Nagar,Hyderabad,Sai Brundavan Tiffins,200,4.3,1000,South Indian  Chinese,Bk Guda Road,66
74340,Himayatnagar,Hyderabad,Amantran Bengali Restaurant,200,4.1,100,"Bengali,North Indian,Chinese,Home Food,Thalis,Beverages",Domalguda,41
74646,Vijaya Nagar Colony,Hyderabad,Riyan Hotel,300,3.5,1000,"Hyderabadi,Mughlai,Biryani,Indian,Chinese",Vijaya Nagar Colony,35
74979,Adarsh Nagar,Hyderabad,Ohri'S Cake Nation,600,4.3,100,"Desserts,Bakery",New Mla Quarters,31
76601,Banjara Hills,Hyderabad,Skypark Cafe,500,4,500,"Cafe,Chinese,Continental",Road No 12,61
77875,Moghalpura,Hyderabad,Al - Akbar Fast Food Corner,200,4.2,500,"North Indian,Chinese",Beside Mecca Masjid,45
77876,Lal Darwaza,Hyderabad,Al Hashmi Arabian Shawarma House,250,3,20,"Street Food,Arabian",Shalibanda,54
78172,Charminar,Hyderabad,House Of Milkshake,200,4.1,100,"Ice Cream,Beverages,Fast Food",Inside Happy Mart,39
78478,Masab Tank,Hyderabad,Diamond Pan Shop,1000,4.4,100,"Biryani,Tandoor,Chinese,Indian",Masabtank,49
80488,Kothapet & Dilsukhnagar,Hyderabad,Homely,200,4.1,1000,"Home Food,South Indian,North Indian,Thalis",Kothapet & Dilsukhnagar,39
80504,Khairtabad,Hyderabad,Indira Darshini,200,4.1,500,"Chinese,South Indian,Fast Food,Hyderabadi",Erramanzal Colony Rd,49
81049,Banjara Hills,Hyderabad,Creamy N Creamy Ice Stone,150,3.8,50,"Desserts,Fast Food,Beverages,Hyderabadi",Sufi Chambers Road,53
81392,Toli Chowki,Hyderabad,Ice Magic,250,4.5,100,Pizzas,Tolichowki,68
82407,Toli Chowki,Hyderabad,Hotel Rumaan,300,4.2,1000,"Biryani,Tandoor,North Indian,Chinese,Kebabs,Mughlai",Tolichowki Road,61
82818,Abids,Hyderabad,Lavish Corner,120,3.9,100,"Chinese,Indian,Beverages,Snacks",Chapel Road,29
82844,Mehdipatnam,Hyderabad,Al Baik Shawarma,200,4.2,20,Arabian,Gudi Malkapur,49
82875,Padmarao Nagar,Hyderabad,Reddy Military Hotel,250,3.7,100,"South Indian,Hyderabadi,Chinese,North Indian,Andhra",Walker Town,47
83230,Old Malakpet,Hyderabad,Al Baik Shawarma & Juice Point,250,4.1,20,"Juices,Fast Food",Jamal Colony,27
84836,Kothapet,Hyderabad,Mithaiwala,400,4.3,500,"Sweets,Desserts,Snacks,Chaat",Kothapet,47
85971,Banjara Hills,Hyderabad,Burgasm,350,4.3,100,"Fast Food,American",Rd No.5,63
88070,Padmarao Nagar,Hyderabad,Lucky'S Biryani House,400,3.8,100,Biryani  Chinese,Warasiguda X Road,48
88440,Ghansi Bazaar,Hyderabad,Hotel Shadab,400,4.1,5000,"Biryani,North Indian,Chinese,Kebabs",High Court Road,37
88532,Aliabad,Hyderabad,Al Hashmi Arabian Shawarma & Fast Food,150,3.6,100,Fast Food,Shah Ali Banda Rd,57
88966,Mehdipatnam,Hyderabad,Sri Vasavi Grand,150,4,500,"South Indian,Chinese",Vv Colony,52
89254,Madannapet Colony,Hyderabad,Redaan Restaurant,250,3.8,1000,"Chinese,Biryani,Kebabs,Haleem",Banu Nagar,41
90561,New Malakpet,Hyderabad,Lassi Corner Malakpet,150,3.7,100,Beverages,Behind Super Bazar Bus Stop,33
91408,Toli Chowki,Hyderabad,Mohammed'S Shawarma,150,4,500,Arabian,Nanal Nagar,55
91699,Uppal,Hyderabad,Master Chef Restaurant,300,3.8,1000,"Chinese,Biryani,Mughlai,North Indian",Uppal X Roads,62
92270,Redhills,Hyderabad,Khan-E-Khaas,200,4.3,20,Fast Food,Opp Hp Petrol Pump,47
92282,Langar Houz,Hyderabad,Dairy Den,200,4.2,20,Ice Cream  Desserts  Beverages,Gudimalkapur,54
92830,Padmarao Nagar,Hyderabad,1D Cafe,200,3.7,20,Cafe,Padmarao-Nagar,53
93035,Khilwat,Hyderabad,Dairy Den,200,3.5,20,"Desserts,Ice Cream,Beverages",Chowmahallal Palace,51
94091,Jam Bagh,Hyderabad,Nrs Mamatha Darshini,150,4.3,500,"South Indian,Chinese",Gowliguda Main Road,28
96020,Amberpet,Hyderabad,Papaji-Da-Dhaba,200,4,1000,"North Indian,Chinese,Tandoor",New Nallakunta,35
97485,Basheer Bagh,Hyderabad,The Thick Shake Factory,250,4.3,100,Beverages,Abids,27
100942,Somajiguda,Hyderabad,Lucky Multicuisine Restaurant,350,3.9,1000,"North Indian,South Indian,Tandoor,Biryani",Raj Bhavan Quarters Colony,51
101568,Tolichowki,Hyderabad,Tasty Fish Fry Point,200,4.1,20,Italian,Darusalam Road Goshal Road,35
104527,Boudhanagar Colony,Hyderabad,Meena Bakery,250,4.4,100,"Bakery,Fast Food",Padmarao Nagar,46
104544,Kachiguda,Hyderabad,Nikhils Hot&Spice Chinees Fast Food,300,4,1000,Chinese,Himayathnagar,26
105483,Lakdikapul,Hyderabad,Suprabath Tiffins,300,4.2,20,South Indian,Public Garden Road,31
105485,Humayun Nagar,Hyderabad,50 Fruits,150,4.3,100,"Juices,Beverages,Healthy Food",Humayun Nagar,49
106419,Begumpet,Hyderabad,A One Home Foods,220,3.7,50,South Indian  North Indian  Mughlai,Begumpet,69
107648,Basheer Bagh,Hyderabad,Ghrelin - Cafe And Patisserie,450,4.3,500,"Desserts,Bakery",Sri Siva Rama Towers,36
109168,Santosh Nagar,Hyderabad,Al Rabea Al Arabi Cafeteria,250,4.3,1000,"Lebanese,Arabian,Fast Food",Santosh Nagar,49
110376,Somajiguda,Hyderabad,Headquarters,1100,2.9,80,"Continental,Italian,North Indian,Chinese",Raj Bhavan Rd,60
110743,Himayatnagar,Hyderabad,Black Pearl - Hotel Central Park,300,3.3,100,North Indian  Chinese  Indian,Basheer Bagh,37
110791,Punjagutta,Hyderabad,By The Bay,1200,3.7,20,"Indian,Asian,Italian,European",Khairatabad,57
113377,Amberpet,Hyderabad,Hotel Mukrram,300,4.1,100,Biryani,Turab Nagar,43
115662,Mehdipatnam,Hyderabad,Amfah Hotel,200,4.2,50,"Biryani,North Indian,Chinese",Near Rytu Bazar Bus Stop,47
118074,Himayatnagar,Hyderabad,Barcenos Pizza,300,3.8,20,"Pizzas,Beverages",Street No 6,33
121149,Toli Chowki,Hyderabad,Zafar'S Fine Dine,400,4,100,"Arabian,Mughlai,North Indian",Tolichowki,61
121307,Hyderabad,Hyderabad,Phulkaas,200,3.8,100,North Indian,Musheerabad,40
122477,Old Malakpet,Hyderabad,Zam Zam Arabian Mandi,300,3.7,20,Arabian,Hitec Garden Road,37
